PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Mesa,The Peachfork,281 33 RD,,Palisade,CO,81526,(970) 216-7662,No,peachfork@gmail.com,Peachfork.com,Peachforkfruitandwine,Peachforkfruitandwine,,January|February|April|March|May|June|July|August|September|October|November|December,4|5|6|7|1,Noon - 6pm,,,Noon - 6pm,Noon - 6pm,Noon -6 pm,Noon - 6pm,Agritourism|On-Farm/Ranch sales|U-pick|Winery,Event Facilities|Tours,Harvest host camping and camping,No,No,Yes,,Apples,Peaches|Pears|Grapes,,,,,,,,Cider|Juices,,"Family operated, kid and dog friendly. U- pick fruit in fall. U- pick wine tasting flight year around.  Open extended days and hours during August, September and October.",Estate wines ,,39.04593299999999,-108.441684
,Weld,Ledingham Livestock,56145 CR 21,,Carr,CO,80612,(970) 218-5929,Yes,ledinghamlivestock@gmail.com,www.ledinghamlivestock.com,https://www.facebook.com/ledinghamlivestock,https://www.instagram.com/ledingham.livestock/,,January|February|March|April|May|June|July|August|September|October|November|December,6,,,,,,8 a.m. - 12 p.m.,,,,We offer free shipping anywhere in the continental US,No,No,Yes,,,,,,Beef|Lamb,,,,,Handcrafted Gifts,,We raise grass fed and finished beef and lamb with FREE shipping or delivery,,,40.81474800000001,-104.869647
,Larimer,Back Gate Farm,1505 North College Ave.,,Fort Collins,CO,80524,(970) 846-4113,Yes,backgatefarm@gmail.com,backgatefarm.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,4,,,,4pm-6pm,,,,CSA Farm|On-Farm/Ranch sales,,,No,Yes,No,,Beets|Cabbage|Carrots|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Microgreens|Onions,Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Zucchini,,,,,,,,,"We are a boutique urban farm in the heart of Fort Collins. Specializing in year-round microgreens and a seasonal bounty of mixed vegetables, herbs, and flowers, we connect our community to fresh, local flavor. Join our Mayâ€“September CSA or visit us for weekly on-farm sales.",,,40.60787408260472,-105.0766136630701
,Delta,Abundant Life Organic Farms,31733 HIGHWAY 92,,HOTCHKISS,CO,81419,(970) 985-8842,No,,,https://www.facebook.com/abundantlifeorganicfarmsco,https://www.instagram.com/abundantlifeorganicfarms/,,May|June|July|August|September|October|November,8,,,,,,,,Roadside Market,Bed & Breakfast,,Yes,No,No,Colorado Department of Agriculture,Apricots|Beets|Bell Peppers|Cantaloupe|Carrots|Chile Peppers|Cucumbers,Garlic|Green Beans|Herbs|Honeydew|Lettuce|Onions|Peaches|Pears,Zucchini|Watermelon|Turnips|Tomatoes|Sweet Corn|Strawberries|Squash|Spinach|Raspberries|Potatoes|Plums|Peas,,,,,Yak cuts,Jams|Honey|Pickles,,,"Family farm located conveniently on Highway 92, 3 miles west of Hotchkiss town.  2026 will be the first season we offer an Airbnb opportunity on the farm.  Telluride market from 10:30-3:30 on Fridays, Aspen Saturday Market from 8:30-2:00 on Saturdays.",,7 a.m. to 8 pm,38.800431,-107.7679035
,Delta,Honey Rock Landing,2444 Dominguez Canyon Rd,,Delta,CO,81416,(970) 275-3974,No,info@honeyrocklanding.com,https://www.honeyrocklanding.com/,https://www.facebook.com/HoneyRockLanding/,https://www.instagram.com/honeyrocklanding/?hl=en,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Agritourism|Greenhouse|On-Farm/Ranch sales|Sell to Schools|U-pick,Bed & Breakfast|Event Facilities|Farm or Ranch Vacations|Fishing|Tours,,Yes,No,Yes,USDA CCOF,Apricots|Asparagus|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Herbs|Honeydew|Kale|Lettuce|Microgreens|Peaches|Pears,Plums|Radishes|Raspberries|Spinach|Squash|Strawberries|Tomatoes|Watermelon|Zucchini,,,,,,Eggs|Honey,,,"At Honey Rock Landing, we grow organic cherries, peaches, pears, and seasonal produce using regenerative farming. We provide fresh crops for our farm stand, local markets, and value-added products like purees and juices, while welcoming guests to our Cave Suites for a unique agritourism experience.",,7a.m - 4 p.m,38.798091,-108.32181299999999
,Alamosa,Colorado Gators,9162 Lane 9 N ,,Mosca,CO,81146,(719) 378-2612,No,colog8rs@gmail.com,ColoradoGators.com,http://www.facebook.com/ColoradoGatorFarm,,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Agritourism|On-Farm/Ranch sales,Tours,Fishing,No,No,Yes,,,,,"Figs, Fig Trees",,,Tilapia,,,,,We are a reptile rescue and educational facility and fish farm with an integrated ecosystem to grow food for animals and for people.,,"Summer 9 am - 5 pm, Winter 9 am - 4 pm",37.705725,-105.86997
,Fremont,Royal Gorge Farmers Market,"816 Royal Gorge Blvd, CaÃ±on City, CO 81212, USA",,CaÃ±on City,CO,81212,(719) 275-2331,No,foundation@royalgorgechamberalliance.org,https://www.royalgorgechamberalliance.org/royal-gorge-farmers-market/,https://www.facebook.com/royalgorgefarmersmarket,,,July|August|September,6,,,,,,9 am-1 pm,,Farmers' Market,,,No,No,Yes,,Apples|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Celery|Cherries|Cucumbers,Peaches|Pears|Onions|Mushrooms|Microgreens|Lettuce|Kale|Green Beans|Eggplant,Pinto Beans|Potatoes|Radishes|Raspberries|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Zucchini,,Beef|Sausage|Pork,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Handcrafted Gifts,,"The Royal Gorge Farmers Market operates during the summer and early fall months, offering a vibrant atmosphere for locals and visitors to enjoy fresh produce, handmade goods, and unique crafts.

",,,38.44133099999999,-105.2351235
,Fremont,The Winery at Holy Cross Abbey,3011 E US Highway 50,,CANON CITY,CO,81212,(719) 276-5191,No,info@abbeywinery.com,www.abbeywinery.com,https://www.facebook.com/Abbeywinery,theabbeywinery,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7,10  am - 6 pm,10  am - 6 pm,10  am - 6 pm,10  am - 6 pm,10  am - 6 pm,10  am - 6 pm,12 noon - 5 pm,Winery,Tours,,No,No,Yes,,,,,,,,,,,,,"Several years ago, some simple Benedictine Fathers had a dream. Today, that dream is a reality, and the staff at the winery proudly invites you to share in their vision.","Merlot, Riesling, Viognier, Syrah, Cabernet Sauvignon, Cabernet Franc, Chardonnay, Sauvignon Blanc, Apple, Dessert, Red and White Blends, Blush",,38.496250544284926,-105.31580057784522
,Douglas,SALT Craft Meat Market,611 Wilcox Street; Ste B,,Castle Rock,CO,80104,(720) 925-1318,No,hello@saltmeatmarket.com,https://www.saltmeatmarket.com/,https://www.facebook.com/saltmeatmarket,https://www.instagram.com/saltmeatmarket,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6,9:30am - 6pm,9:30am - 6pm,9:30am - 6pm,9:30am - 6pm,9:30am - 6pm,9am - 5pm,,On-Farm/Ranch sales|Restaurant,,Local Butcher Shop,No,No,Yes,,,,,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,Elk,"Salmon, Halibut, Cod, etc.",,Baked Goods|Pickles|Honey|Eggs|Cheese|Jams|Jellies,,,"We are a local craft butcher shop, offering high quality, locally-raised meats and grab & go options like made-from-scratch meals and deli sandwiches. We exist to feed & nourish the community. We are the local choice for the best meats in Castle Rock, connecting the community and local farms and ranches.",,,39.37570199999999,-104.8603905
,Larimer,Larimer County Farmers' Market,200 W. Oak St. ,,Fort Collins,CO,80524,(970) 498-6000,No,larimercountyfm@gmail.com,www.larimer.gov/extension/larimer-county-farmers-market,https://www.facebook.com/larimercountyfm,https://www.instagram.com/larimercountyfm,,May|June|July|August|September|October,6,,,,,,9am - 1pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Kale|Herbs|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Onions|Peaches|Pears,Peas|Plums|Pinto Beans|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Handcrafted Gifts,,"The oldest farmers' market in northern Colorado, the Larimer County Farmers' Market is celebrating its 50th season in 2026, with over 100 vendors. The LCFM is Fort Collins' flagship market, and operated by the Larimer County CSU Extension Office. ",,,40.58566529570034,-105.07905344519178
,Montrose,Billy Goat Hop Farm,67181 Trout Rd.,,Montrose,CO,81403,(812) 664-8597,Yes,billygoathopfarm@gmail.com,https://www.billygoathopfarm.com/visit,https://www.facebook.com/billygoathopfarm,https://www.instagram.com/billygoathopfarm/,,April|May|June|July|August|September|October|November|March,1|2|3|4|5|6|7,By appointment for tours / Campground 24 hrs,By appointment for tours / Campground 24 hrs,By appointment for tours / Campground 24 hrs,By appointment for tours / Campground 24 hrs,Fridays on the Farm 4pm - 9pm / By appointment for tours / Campground 24 hrs,By appointment for tours / Campground 24 hrs,By appointment for tours / Campground 24 hrs,Agritourism|On-Farm/Ranch sales,Event Facilities|Farm or Ranch Vacations,Beer and NA hop water made with the farm's hops; campground,No,No,Yes,,,,,Hops,,,,,,,"Several different styles of beer, along with hop water","We are now the only hop farm in the Southwest, and are now open to the public with camping, tours, and events! This is a unique opportunity to learn about hop farming, sleep among hop bines, enjoy mountain views, and drink beer & hop water made with hops grown right here!",,,38.394090000000006,-107.828649
,Phillips,Pfaltzgraff Farms,12189 County Road 7,,Haxtun,CO,80731,(970) 466-1887,Yes,AskAFarmer@PfzFarms.com,www.pfzfarmstand.com,https://www.facebook.com/PfzFarms,@pfzfarms,,February|March|April|May|June|July|August|September|October|November,8,,,,,,,,Sell to Schools|Agritourism,Tours,Sunflower farmers-come get your pictures in when they're in bloom!!,No,No,No,,,,,Black-eyed peas,,,,,,,"Baking mixes, flours, dried beans","Come visit a regenerative farm where we grow sunflowers, millet, heirloom corn, black-eyed peas, and more! We have a dedicated millhouse where we mill our own grains for gluten-free flours and baking mixes. Give us a call for a tour or follow us on social media for the next crop bloom!!",,Call first!,40.51232999999999,-102.608946
,Garfield,Rifle Farmers Market,839 Whiteriver Ave,,Rifle,CO,81650,(970) 309-0803,Yes,elissamnye@gmail.com,riflefarmersmarket.com,,,,June|July|August|September,5,,,,,4-8pm,,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Potatoes|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Zucchini,,,,,,Baked Goods|Eggs|Honey|Jams|Jellies,Handcrafted Gifts,,"We are the Rifle Farmers Market. A Friday night gathering space with local produce, eggs, honey and handmade products. We have live music, food trucks and beer and wine to be enjoyed onsite. ",,,39.53692636230148,-107.78098352909718
,Boulder,Lyons Farmers Market,350 4th Ave,,Lyons,CO,80540,(423) 443-2440,No,abundant.spaces@gmail.com,fosterabundantspaces.com,,@abundant.spaces,,May|June|July|August|September|October,7,,,,,,,9am - 1pm,Farmers' Market,Event Facilities,,No,No,Yes,,Cucumbers|Cauliflower|Carrots|Cabbage|Brussels Sprouts|Broccoli|Bell Peppers|Beets|Apples,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches,Plums|Potatoes|Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Zucchini,,Beef|Lamb|Pork|Poultry,,,,Baked Goods|Eggs|Honey|Jams|Pickles|Popcorn,Juices|Handcrafted Gifts,,"The Lyons Farmers Market is a curated Sunday market celebrating local food and seasonal craftsmanship. It is a living cultural space where food, land, creativity, and community converge. The 2026 Lyons Farmers Market will be held every Sunday 9a-1p in Sandstone Park, from May 10th - October 4th.",,,40.222011377261474,-105.26983745261687
,Pueblo,Pueblo Farmers Market Eastside Pop-ups,1346 E 8th Street,,Pueblo,CO,81001,(719) 778-6041,No,pueblofarmersmarket@gmail.com,pueblofarmersmarket.org,www.facebook.com/pueblofarmermarket,www.instagram.com/pueblofarmersmarket,,July|October|May|June,6,,,,,,7:30am - Noon  May 16  June 6    July 18    October 3,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Microgreens|Mushrooms|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Potatoes|Plums|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Beef|Lamb|Pork|Poultry,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Juices|Handcrafted Gifts,,"We gladly accept SNAP, CO Produce Bonus, Double Up Food Bucks, Fresh to Flourish and PowerUp Protein.
Pop-ups at this location will be:
May 16
June 6
July 18
October 3",,,38.27457900000002,-104.5873215
,Mesa,Green Junction Farmstead,3449 Front St,,CLIFTON,CO,81520,(970) 234-0024,No,gjfarmstead@gmail.com,www.gjfarmstead.com,,,,June|July|August|September|October,6,,,,,,10-12,,CSA Farm,Tours,Living soil and growing practice consultation,No,Yes,No,,Cucumbers|Chile - Roasted|Chile Peppers|Celery|Cauliflower|Carrots|Cantaloupe|Cabbage|Broccoli|Bell Peppers|Beets,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Okra|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Watermelon|Zucchini,,,,,,Baked Goods|Eggs|Honey,,,We are Colorado Proud and living soil growers. We don't use any chemicals on our land or produce. We are growing the way nature intended.,,,39.09587400000001,-108.4133925
,Boulder,Nederland Farmers Market ,80 E Second St ,,Nederland,CO,80466,,No,Vending@nederlandfarmersmarket.com,https://www.nederlandfarmersmarket.org,https://www.facebook.com/NederlandFarmersMarket,@nederlandfarmersmarket ,,May|June|July|August|September|October|November,7,,,,,,,10:00am-2:00pm,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Bell Peppers|Beets|Broccoli|Cantaloupe|Carrots|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers|Brussels Sprouts|Cabbage|Cauliflower,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears|Nectarines|Okra,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Strawberries|Tomatoes|Turnips|Watermelon|Zucchini|Raspberries,,Beef|Lamb|Pork|Poultry|Sausage,,Salmon ,,Baked Goods|Cheese|Eggs|Honey|Pickles|Popcorn,,,"A vibrant mountain community market featuring fresh local produce, pasture-raised meats, baked goods, handmade crafts, and live music in the heart of Nederland.",,,39.962529575130986,-105.50897570901505
,Delta,Ela Family Farms,30753 L Rd,,Hotchkiss,CO,81419,(970) 872-3488,Yes,info@elafamilyfarms.com,www.elafamilyfarms.com,elafamilyfarms,elafamilyfarms,,August|September|October,1|2|3|4,9 a.m. - 4 p.m.,9 a.m. - 4 p.m.,9 a.m. - 4 p.m.,9 a.m. - 4 p.m.,,,,CSA Farm|On-Farm/Ranch sales,,,Yes,No,Yes,USDA - CO Dept of Agriculture,Apples|Cherries,Peaches|Pears,Plums|Rhubarb|Tomatoes,,,,,,Jellies|Jams,,"Apple sauce, dried fruit","With over 100 years of Colorado fruit growing
experience, our fourth generation family farm
offers certified organic fruits and artisanal fruit
products at farmersâ€™ markets, at our farm, direct
to buyer groups, as fruit shares to other CSA
farms and at select retail stores, coops and
restaurants. ",,,38.81637900000001,-107.7865965
,Weld,Black Mountain Bison,26493 WCR  15,,JOHNSTOWN,CO,80534,(970) 528-1800,Yes,sales@blackmountainbison.com,https://blackmountainbison.com/,https://www.facebook.com/blackmountainbison,https://www.instagram.com/blackmountainbison/,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales,,"Sell to schools, on-line sales: buffalo, jerky, handcrafted gifts, branded merchandise and apparel. ",No,No,Yes,,,,,,Buffalo,,,,,,,"Black Mountain Bison offers premium American bison meat, sourced locally and available for local pick up and delivery. Our range includes a variety of cuts, from tender steaks to flavorful roasts. With no minimum order requirements, customers can enjoy the f inest bison meat with convenience and quality guaranteed.",,7 a.m. - 5 p.m.,40.38516000000001,-104.926833
,Larimer,Bartels Land & Livestock Inc.,3424 E Douglas Rd,,Ft. Collins,CO,80524,(970) 420-5440,No,llavud@live.com,Thebartelspumpkinpatch.com,,,,July|August|September|October,8,,,,,,,,Roadside Market|U-pick,Corn Maze|Hayrides|Pumpkin Patch,,No,No,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Celery|Chile - Roasted|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale,Pumpkins|Spinach|Strawberries|Sweet Corn|Tomatoes|Zucchini|Watermelon,Straw bales,,,,,Baked Goods|Honey|Jams|Pickles,,,"26th annual pumpkin patch. No admission to the patch you pay for the product you pick from the field or the stand. Food trucks, Indian corn, straw bales , farm animals, lots and lots of pumpkins , gourds . We also offer birthday parties during our fall activities. Parties are done by appointment.",,"10a.m, to 6 p.m.",40.63914690228583,-105.01341805875111
,Arapahoe,Larry Zierer,47705 E County Road 34,,Bennett,CO,80102,(303) 644-4110,Yes,lzbalpacas@aol.com,,,,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Agritourism|On-Farm/Ranch sales,Tours,"Opportunity to interact with our alpacas and learn how to get started in the alpaca business.  We also have a small on-farm store that offers various alpaca products (socks, scarves, blankets) as well as raw fiber, rovings and yarn.",No,No,No,,,,,,,,,,,,"We offer sales of alpaca related products (yarns, rovings, scarfs, blankets and socks) as well as the alpacas themselves",We have been raising alpacas for over 25 years and always welcome farm visits to educate people about these amazing animals and to help them get started in the alpaca business.  We currently have a herd of over 30 alpacas with several crias(baby alpacas) due this spring and fall.  ,,10:00 A.M. - 4:00 P.M.,39.62596500000001,-104.4265815
,Montrose,Mattics Orchards,8163 High Mesa Road,,Olathe,CO,81425,(970) 323-5657,No,TaKerEnt@aol.com,,,,,August|September|October,8,,,,,,,,On-Farm/Ranch sales|Roadside Market,,,No,No,Yes,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Cauliflower|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Kale|Leeks|Nectarines|Onions|Peaches|Pears,Pinto Beans|Plums|Potatoes|Pumpkins|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,Honey|Baked Goods,,,Thank you for stopping by!,,9 am - 4 pm,38.57342400000002,-108.0046575
,Boulder,Longmont Farmers Market,9595 Nelson Rd,Unit D,Longmont,CO,80501,(720) 612-8185,No,hello@bcfm.org,https://bcfm.org/markets/longmont-farmers-market/,https://www.facebook.com/LongmontFarmersMarket,https://www.instagram.com/longmontfarmersmarket/,,April|May|June|July|August|September|October|November,6,,,,,,8:00 a.m. - 1:00 p.m.,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork|Sausage|Jerky,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,,,"Come see whatâ€™s fresh at the Longmont Farmers Market! Here you'll meet your local farmers, ranchers, beekeepers, and entrepreneurs selling everything from fresh produce, meat, cheese, fresh bread and pastries, as well as delicious ready-to-eat options for breakfast and lunch.",,,40.155552,-105.129036
,Boulder,Boulder Farmers Market,13th St & Canyon Blvd,Unit D,Boulder,CO,80302,(720) 612-8185,No,hello@bcfm.org,https://bcfm.org/markets/boulder-farmers-market/,https://www.facebook.com/BoulderFarmersMarket,https://www.instagram.com/boulderfarmersmarket/,,April|May|June|July|August|September|October|November,6|3,,,3:30 - 7:30 p.m.,,,8:00 a.m. - 2:00 p.m.,,Farmers' Market,,,No,Yes,Yes,,Apples|Asparagus|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Pickles|Popcorn,,,"Join us at the Boulder Farmers Market! Here you'll meet your local farmers, ranchers, beekeepers, and entrepreneurs selling everything from fresh produce, meat, cheese, fresh bread and pastries, as well as delicious ready-to-eat options for breakfast and lunch.",,,40.01619600000177,-105.27801750000235
,Boulder,Sunflower Farm Acres,11150 Prospect Rd,,LONGMONT,CO,80504,(303) 774-8001,Yes,,https://www.sunflowerfarmacres.com/,https://www.facebook.com/SunflowerFarmLongmont,https://www.instagram.com/sunflowerfarm_info/,,April|May|June|July|August|September|October|November|December,3|4|5|6|7,,,12:30-4:30,9-4:30,9-4:30,"Depends on Season, 11-3 in April & 9-1:00 from May-October","Depends on Season, 11-3 in April & 9-1:00 from May-OctoberSeason",Agritourism|CSA Farm|Roadside Market,Pumpkin Patch|Tours,"Educational Demonstration farm, with licensed school and summer camp programs",No,Yes,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Mushrooms|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Watermelon|Zucchini,Flowers,Lamb,,,,Honey,,,"Sunflower Farm Acres is a vegetable and flower farm entering its third year of production. Located on Prospect Road in southern Longmont, we integrate regenerative farming practices to grow organic and nourishing foods for the community.",,,40.13106300000001,-105.0913575
,Montezuma,Arriola Sunshine Farm,17702 Road 23,,Dolores,CO,81323,(970) 739-2445,Yes,ekstramas@gmail.com,https://arriolasunshinefarm.com,https://www.facebook.com/churrosheeparriolasunshinefarm,https://www.instagram.com/sunshinefarmchurros/,,January|February|March|April|May|June|July|August|September|October|November|December,6,,,,,,9AM-4PM,,On-Farm/Ranch sales,,Shopify Store  https://arriolasunshinefarmstore.com ,No,No,No,,,,,,Lamb,,,,,Handcrafted Gifts,"Navajo Churro Breeding Stock, Wool, Sheepskin Pelts, ","We offer registered Navajo-Churro sheep breeding stock, grass fed lamb, wool and pelts raised humanely with regenerative agricultural practices. ",,,37.465866000000005,-108.6277005
,Montezuma,Podunk's Ranch ,20079 Road South,,Cortez,CO,81321,(970) 672-0720,Yes,Podunksbeef@gmail.com,www.podunksranch.com,Podunk's Ranch,Podunk's Ranch ,,March|February|April|May|June|July|August|September|October|November|December,8,,,,,,,,CSA Farm|On-Farm/Ranch sales,,Guest house on property ,No,Yes,No,,,,,,Beef,,,,,,,"Podunkâ€™s Ranch in Cortez, Colorado provides grass-fed, grain-finished beef sold directly from our ranch to your table. Shop individual cuts, bundles, or whole, half, and quarter beef. Online store, local markets, and ranch pick-up available. Monthly beef CSA offered. SNAP accepted to support access to local food. BQA Cert. ",,8:00 -7:00 Friday and Saturday 5:00 - 7:00 Monday - Thursday ,37.442988,-108.6811785
,Archuleta,Sambrito Creek Farm,1351 County Road 988,,Ignacio,CO,81137,(970) 585-6355,Yes,sambritocreekfarm@gmail.com,,https://facebook.com/sambritocreekfarm,,,January|February|March|April|May|June|July|August|September|October|November|December,6|7,,,,,,8am -4pm,8am - 4pm,On-Farm/Ranch sales,,,No,No,Yes,,,,,,Lamb,,,,,,"Wool, Tanned Hides","First-generation family farm raising 100% grass-fed Icelandic sheep. As proud members of The Good Meat Project, we prioritize ethical stewardship and transparency. We offer premium breeding stock, live shares, and select USDA-packaged meat for those seeking hardy heritage genetics and high-quality, sustainably raised lamb.",,,37.025811000000004,-107.4755655
,Larimer,Native Hill Farm,2100 County Rd 54G,,Fort Collins,CO,80524,(970) 980-1366,No,info@nativehillfarm.com,www.Nativehillfarm.com,,@nativehillfarm,,January|February|March|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,CSA Farm|On-Farm/Ranch sales|Roadside Market|U-pick,,,Yes,Yes,Yes,CDA,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Kale|Leeks|Lettuce|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Watermelon|Zucchini,,,,,,Eggs|Honey,,,"We are honored to be growing organic, fresh food for our community. Our produce is available through our Farm Share programs, the Larimer County Farmerâ€™s Market, and at our onsite Farm Stand. You can also find our high quality produce on the menu at select Old Town Fort Collins restaurants. ",,9 a.m-6 p.m.,40.625553857313875,-105.11426524297048
,Fremont,New Roots Farm LLC,1630 Grand Ave ,"Canon City, CO 81212",Canon City,CO,81212,(719) 671-6491,Yes,newrootsfarmllc@gmail.com,www.newrootsfarmllc.com,newrootsfarmllc,newrootsfarmllc,,June|July|August|September|October,1,7 am - 12 pm,,,,,,,CSA Farm,,,No,Yes,No,,Apples|Cherries|Beets|Bell Peppers|Broccoli|Cantaloupe|Carrots|Cabbage|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Onions,Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Zucchini,,,,,,,,,"We recognize that healthy, living soil is the cornerstone of the entire farm ecosystem. Healthy soil means healthy plants, healthy people and animals, and healthy planet. Here at New Roots Farm in the Arkansas River Valley, we gratefully and humbly care for the living soil that feeds us.",,,38.428380000000004,-105.2060895
